,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num
0,2011-usopen-1101,2011,usopen,1101,Novak Djokovic,Conor Niland,Retired,1.0,event_MS,round_1,Arthur Ashe Stadium,A,atpd643,atpn349,SRB,IRL,1101
1,2011-usopen-1108,2011,usopen,1108,Sergiy Stakhovsky,Richard Gasquet,Complete,2.0,event_MS,round_1,Court 17,Q,atpsc77,atpg628,UKR,FRA,1108
2,2011-usopen-1109,2011,usopen,1109,Tomas Berdych,Romain Jouan,Complete,1.0,event_MS,round_1,Grandstand,C,atpba47,atpj338,CZE,FRA,1109
3,2011-usopen-1116,2011,usopen,1116,Grigor Dimitrov,Gael Monfils,Complete,2.0,event_MS,round_1,Louis Armstrong Stadium,B,atpd875,atpmc65,BUL,FRA,1116
4,2011-usopen-1117,2011,usopen,1117,Roger Federer,Santiago Giraldo,Complete,1.0,event_MS,round_1,Arthur Ashe Stadium,A,atpf324,atpg725,SUI,COL,1117
5,2011-usopen-1120,2011,usopen,1120,Ryan Harrison,Marin Cilic,Complete,2.0,event_MS,round_1,Louis Armstrong Stadium,B,atph940,atpc977,USA,CRO,1120
6,2011-usopen-1123,2011,usopen,1123,Tommy Haas,Jonathan Dasnieres De Veigy,Complete,1.0,event_MS,round_1,Court 17,Q,atph355,atpd729,GER,FRA,1123
7,2011-usopen-1124,2011,usopen,1124,Alejandro Falla,Viktor Troicki,Complete,1.0,event_MS,round_1,Grandstand,C,atpf444,atpt840,COL,SRB,1124
8,2011-usopen-1125,2011,usopen,1125,Jo-Wilfried Tsonga,Yen-Hsun Lu,Complete,1.0,event_MS,round_1,Grandstand,C,atpt786,atpl575,FRA,TPE,1125
9,2011-usopen-1128,2011,usopen,1128,Jarkko Nieminen,Fernando Verdasco,Complete,2.0,event_MS,round_1,Grandstand,C,atpn289,atpv306,FIN,ESP,1128
10,2011-usopen-1132,2011,usopen,1132,Tobias Kamke,Mardy Fish,Complete,2.0,event_MS,round_1,Arthur Ashe Stadium,A,atpk839,atpf339,GER,USA,1132
11,2011-usopen-1133,2011,usopen,1133,Rogerio Dutra Da Silva,Louk Sorensen,Retired,1.0,event_MS,round_1,Grandstand,C,atpsc73,atpsd69,BRA,IRL,1133
12,2011-usopen-1134,2011,usopen,1134,Alex Bogomolov Jr.,Steve Johnson,Complete,1.0,event_MS,round_1,Court 11,K,atpb842,atpj386,USA,USA,1134
13,2011-usopen-1135,2011,usopen,1135,Robby Ginepri,Joao Souza,Complete,1.0,event_MS,round_1,Grandstand,C,atpg569,atpsg64,USA,BRA,1135
14,2011-usopen-1136,2011,usopen,1136,Marcos Baghdatis,John Isner,Complete,2.0,event_MS,round_1,Louis Armstrong Stadium,B,atpb837,atpi186,CYP,USA,1136
15,2011-usopen-1137,2011,usopen,1137,Juan Martin Del Potro,Filippo Volandri,Complete,1.0,event_MS,round_1,Louis Armstrong Stadium,B,atpd683,atpv254,ARG,ITA,1137
16,2011-usopen-1140,2011,usopen,1140,Ricardo Mello,Gilles Simon,Complete,2.0,event_MS,round_1,Court 13,M,atpm708,atpsd32,BRA,FRA,1140
17,2011-usopen-1142,2011,usopen,1142,Donald Young,Lukas Lacko,Complete,1.0,event_MS,round_1,Court 17,Q,atpy124,atpl797,USA,SVK,1142
18,2011-usopen-1144,2011,usopen,1144,Marinko Matosevic,Juan Ignacio Chela,Retired,2.0,event_MS,round_1,Court 13,M,atpme05,atpc514,AUS,ARG,1144
19,2011-usopen-1145,2011,usopen,1145,Feliciano Lopez,Tatsuma Ito,Complete,1.0,event_MS,round_1,Court 11,K,atpl397,atpi230,ESP,JPN,1145
20,2011-usopen-1148,2011,usopen,1148,Somdev Devvarman,Andy Murray,Complete,2.0,event_MS,round_1,Arthur Ashe Stadium,A,atpd616,atpmc10,IND,GBR,1148
21,2011-usopen-1149,2011,usopen,1149,David Ferrer,Igor Andreev,Complete,1.0,event_MS,round_1,Louis Armstrong Stadium,B,atpf401,atpa511,ESP,RUS,1149
22,2011-usopen-1150,2011,usopen,1150,James Blake,Jesse Huta Galung,Complete,1.0,event_MS,round_1,Louis Armstrong Stadium,B,atpb676,atph704,USA,NED,1150
23,2011-usopen-1152,2011,usopen,1152,Adrian Mannarino,Florian Mayer,Complete,2.0,event_MS,round_1,Court 11,K,atpme82,atpmb02,FRA,GER,1152
24,2011-usopen-1153,2011,usopen,1153,Andy Roddick,Michael Russell,Complete,1.0,event_MS,round_1,Arthur Ashe Stadium,A,atpr485,atpr368,USA,USA,1153
25,2011-usopen-1154,2011,usopen,1154,Jack Sock,Marc Gicquel,Complete,1.0,event_MS,round_1,Court 17,Q,atpsm25,atpg436,USA,FRA,1154
26,2011-usopen-1156,2011,usopen,1156,Julien Benneteau,Nicolas Almagro,Complete,1.0,event_MS,round_1,Court 17,Q,atpb747,atpa479,FRA,ESP,1156
